index	word	idf	weight
196	06099	9.51369	0.13461881
197	061	7.01303	0.26586046
198	062	6.93239	-0.98046106
199	063	6.92342	-0.56248866
200	064	6.90222	2.88558890
201	065	6.88317	-1.30110270
202	066	6.84778	0.09662766
203	06633	9.49016	0.09333214
204	06644	9.49016	0.34405551
205	067	6.74707	-0.94296225
206	068	6.76063	-2.01956210
207	06863	9.28106	-0.02507274
208	068888	9.56248	0.09408076
209	069	6.77131	-1.89947365
210	06g	8.86933	1.41227569
211	06gb	8.75155	2.30828203
212	06hecai	9.61377	0.09863045
213	06kb	8.58792	0.18690519
214	06mb	8.49777	0.95895296
215	06年	8.23408	0.55301131
216	06日	9.24402	0.37851826
217	06月	6.69600	2.07263384
218	07	4.68862	0.69180077
219	070	6.73221	-0.28014084
220	071	6.47143	-4.61346276
221	07179	9.61377	0.09267407
222	072	6.95425	-1.60787234
223	07222	9.66784	0.09289099
224	073	8.16995	-0.93142016
225	0731	9.17382	-0.45498447
226	0733	9.01725	0.89541303
227	074	8.34608	-0.39149480
228	075	8.38382	-0.82686325
229	0755	8.74050	-0.93789782
230	0757	10.03248	-0.19830090
231	076	8.09230	-0.88990177
232	0769	9.56248	0.02764637
233	077	8.39933	0.71658192
234	0771	9.72500	-0.40282008
235	078	8.47223	0.26152709
236	07887	9.64044	0.08900774
237	079	8.57853	0.92958265
238	079888	9.51369	0.10394797
239	0799	10.03248	0.09780323
240	07g	9.51369	0.41983915
241	07gb	9.00286	1.54632800
242	07kb	9.58780	0.33419051
243	07年	7.19692	-1.03150045
244	07日	8.88191	0.55633474
245	07月	8.28154	-0.93643539
246	08	4.66073	0.88012097
247	080	8.56923	0.35256247
248	081	8.63624	1.61173302
249	081111	9.64044	0.08993782
250	082	8.74050	-0.75663868
251	0827	9.49016	0.49263316
252	083	8.76272	-0.17800572
253	083000	9.51369	0.20450219
254	08334	9.53778	0.09679927
255	084	8.57853	0.09131866
256	085	8.69748	0.25652297
257	0857	9.88406	0.02568354
258	086	8.58792	0.63641376
259	0866	9.51369	0.19179858
260	08667	9.51369	0.11333937
261	087	8.67665	-0.05673434
262	0871	9.20831	-0.02734298
263	088	8.62638	0.04780238
264	0884	9.61377	0.10699100
265	089	8.69748	-0.14517626
266	08g	9.40121	-1.15403034
267	08gb	8.86933	-1.15508002
268	08kb	9.15701	0.14968698
269	08年	7.50196	0.36032350
270	08日	8.68701	0.72048870
271	08月	8.59740	0.06305878
272	09	4.69706	0.68814747
273	090	8.39154	-1.90745430
274	091	8.65624	0.14778173
275	092	8.67665	1.11493663
276	092222	9.51369	0.15128284
277	093	8.63624	-1.43671616
278	09333	9.66784	0.09004559
279	094	8.55088	1.21126473
280	095	8.63624	-0.81392770
281	096	8.66639	0.13579682
282	097	8.62638	-0.38250906
283	09777	9.78562	0.09619302
284	098	8.65624	-0.00792673
285	099	8.59740	0.05706011
286	099333	9.51369	0.10499677
287	09g	9.26237	-1.19137900
288	09gb	9.69601	1.06361410
289	09年	7.89477	-0.12413927
290	09日	8.96090	1.52101676
291	09月	8.26092	0.57837838
292	0b	8.31688	0.24115613
293	0bytes	8.57853	0.05629564
294	0g	8.92062	0.02449430
295	0k	9.85016	0.85397555
296	0l	8.07521	-0.96178145
297	0m	9.81737	1.38780904
298	0mm	9.78562	-0.15860383
299	0t	8.31688	-0.62027269
300	0个	9.51369	0.27976893
301	0元	8.32410	-0.70117052
302	0年	8.61663	0.25391576
303	0次	8.98868	-0.66971895
304	10	3.03164	-1.50522238
305	100	4.18316	1.14460687
306	1000	5.15973	0.65951262
307	10000	7.18293	-0.95477463
308	100000	9.72500	0.99939550
309	10000元	7.88538	0.05344789
310	1000fj	7.82641	0.79962822
311	1000giri	7.96815	-0.67347648
312	1000girih4610	8.12739	0.00053212
313	1000px	9.06170	1.04810074
314	1000x560	9.30011	-0.57221974
315	1000万	6.89351	0.05563043
316	1000个	9.07697	-0.06818569
317	1000元	6.62067	-0.01654713
318	1001	8.16995	0.08521748
319	1005	9.38016	-0.18838081
320	10086	9.31953	-0.62121576
321	1009	9.14048	-1.34524608
322	100cm	9.72500	0.76509685
323	100g	9.26237	0.25893904
324	100k	8.80871	0.55981138
325	100km	9.40121	1.49876878
326	100m	9.35954	0.33263060
327	100mb	8.13937	0.65406825
328	100ml	9.19091	-0.79771329
329	100p	9.51369	1.97648562
330	100w	9.46717	0.01360915
331	100万	6.59463	-0.66887445
332	100个	7.54757	0.75013860
333	100元	6.17049	-0.93036506
334	100天	9.53778	-0.50934165
335	100年	8.77402	0.24612903
336	100次	8.63624	-0.44831212
337	101	6.75307	0.35559324
338	1010	9.53778	0.15558496
339	1012	9.66784	0.04519339
340	101777	9.51369	0.09525358
341	101mb	9.06170	-1.33055113
342	102	6.49442	-1.20045000
343	102011	9.53778	0.01705243
344	102012	9.38016	0.04406812
345	1024	6.73813	1.74814861
346	1024px	8.72957	1.13063916
347	1028	9.15701	1.45796416
348	102k	9.00286	0.09103348
349	102mb	8.61663	0.72938740
350	103	7.01891	-0.09667195
351	104	6.78677	-0.44933101
352	10488	9.53778	0.09440882
353	104k	8.94729	0.88732826
354	105	6.71177	-0.71375037
355	1050	9.53778	0.99245431
356	105mb	8.75155	-0.14783209
357	106	6.90748	0.44390731
358	1060	9.95552	0.41678323
359	106k	9.00286	0.18347134
360	106mb	9.17382	1.09054279
361	107	7.14880	-1.03326657
362	1071	9.17382	0.01432797
363	107mb	9.10822	-1.72618998
364	108	6.46464	-0.15970703
365	1080	7.29293	2.55754887
366	1080p	7.06104	0.97050763
367	108444	9.51369	0.09835303
368	108k	9.01725	0.13112877
369	108mb	8.61663	-2.89483457
370	109	7.14656	0.63838982
371	1094	9.26237	-0.00966051
372	109mb	8.92062	0.53134450
373	10cm	8.58792	-1.24392764
374	10g	8.75155	1.67121659
375	10gb	9.19091	0.93954015
376	10k	7.91382	-0.14354026
377	10m	9.01725	-0.49249829
378	10ml	9.69601	1.51506010
379	10mm	9.19091	0.20284583
380	10musume	8.79701	2.22646013
381	10p	6.79931	1.12019124
382	10pｋｏｕ９７	8.39154	0.00726394
383	10v	10.03248	1.18906758
384	10w	9.17382	0.03924742
385	10万	6.12126	0.52613905
386	10个	5.93680	-1.29809006
387	10亿	7.24747	-1.16778845
388	10元	6.60237	-0.61669560
389	10分	6.47030	1.50608479
390	10号	7.66037	-0.17116439
391	10天	6.73961	-0.25819915
392	10年	5.55469	-0.11698128
393	10张	9.35954	1.43122236
394	10日	6.47942	0.72904302
395	10月	5.23967	2.75031518
396	10月1日	7.80462	-0.34971196
397	10月2日	9.38016	-0.05313497
398	10月3日	8.77402	0.27674522
399	10月4日	9.53778	-0.34067926
400	10月5日	8.75155	0.95424878
401	10月6日	9.46717	0.90353571
402	10月7日	8.77402	-0.18751674
403	10月8日	8.94729	-0.26551489
404	10月9日	9.31953	0.12822971
405	10次	7.09650	0.79403216
406	11	3.58682	1.14969133
407	110	5.95427	-0.76579276
408	1100	7.83971	-0.02259024
409	11000	9.24402	0.38930273
410	1100万	9.31953	-0.34736782
411	1100元	9.44469	0.14515450
412	110k	9.00286	0.26853134
413	110mb	8.96090	0.12651119
414	110万	8.93387	-0.26675348
415	110元	9.58780	-0.25685558
416	111	7.06309	-1.08312370
417	1111	9.46717	3.66208639
418	111153	9.51369	0.11134109
419	111333	9.51369	0.09835303
420	1118	8.92062	-0.01850065
421	111889	9.53778	0.11591011
422	111kj	9.53778	0.10713607
423	111mb	8.93387	0.37839438
424	112	7.17371	1.51206578
425	11223	9.61377	0.09935794
426	1124	9.40121	1.58567893
427	112bytes	10.20683	0.00372126
428	112k	9.00286	0.12456163
429	112mb	8.97469	0.18747464
430	113	7.29035	-0.50532788
431	11315	9.58780	-0.02551511
432	113mb	9.01725	1.34457915
433	114	7.11147	0.51368856
434	114499	9.51369	0.10009899
435	1149	9.33933	0.12098600
436	114k	9.09247	0.78361954
437	114mb	8.82054	0.31600526
438	115	6.77131	-1.00109524
439	1150	9.19091	-0.09633585
440	11555	9.51369	0.19610722
